"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"V1" 0.0288736365704229 0.0245746695749038 0.0476560383394014 0.00170912171569032 0.0795659989197763 0.0100721082819913 0.0686091664229665 0.0155107564339785 0.0642603058521948 0.0366741181136477
"V2" 0.00960606478502547 0.0223602075811262 0.060141049590774 1.16475970480311e-09 0.0624883124725707 0.0092451574727389 0.0337523484612567 0.0195068717329432 0.028948808202513 0.0218805388493422
"V3" 0.0115620694261414 0.0143218023781375 0.0246135742564939 1.34834446957432e-12 0.0547121145385497 0.00624466091582424 0.0314582148649208 0.00899818799050881 0.0364154420865905 0.0412877203868024
"V4" 0.0129753262014921 0.0120305074914458 0.0215336056042387 2.90709525371152e-12 0.0422315060560406 0.00469137982151266 0.0239904880945564 0.00383161176399623 0.0434158303917661 0.0211210492322574
"V5" 0.018926885167272 0.0139090076825383 0.0205823827139847 0.00164491101017449 0.033722624732088 0.00637181908563361 0.0284360132347414 0.00583412733208568 0.0286763473980688 0.0129344970382161
"V6" 0.00570064810565552 0.012121506099617 0.0166957185118381 0.00193664971759932 0.0359281834425762 0.00891688764494522 0.0194434478130968 0.0141415542887941 0.033403608351058 0.0181786355015093
"V7" 0.0477359097751116 0.0124607140546925 0.00143865626827103 0.00925784405737138 1.31129507702119e-12 6.49590406743163e-06 0.00142266101236888 0.00102697980591302 0.000986318492055175 4.2976514078706e-05
"V8" 7.09487640179792e-12 5.09778282996181e-05 7.013799799666e-05 0.0069011279657909 9.10184061468446e-12 0.00335478110096267 4.09354026480973e-06 2.74528328877312e-07 0.00549774369511274 0.123494633475848
"V9" 0.0161734989264325 0.00474145386877839 0.0154325270073162 0.00406580763886797 0.00261823887851121 1.4766979649539e-05 0.00156920634069113 0.00804651893330863 0.0084392603245293 0.000793891589468183
"V10" 6.85194563970448e-13 1.14362384443622e-07 3.07394861021378e-08 0.00261269843213659 8.02547071679559e-12 1.54826728960373e-06 0.06697131960385 7.04988347606705e-06 4.90404372319948e-07 9.54330972501127e-07
"V11" 0.00711168501454499 0.00684614978576693 0.00711819047087404 0.00509430405780528 0.00152287931883773 0.00564999441079587 0.0107769218807631 0.00413098146379687 0.00256019812459961 0.00193328259575595
"V12" 3.38831116949434e-07 2.59195212471375e-12 2.55811866315024e-06 0.00342920258311569 6.89881257854409e-13 8.34946918731482e-07 0.0537289373051002 9.44494128826851e-08 1.43658858541206e-06 6.8896425437612e-13
"V13" 0.00588330176654311 0.0023079133926974 0.00368889250770792 0.00213393581095207 0.0011670836708638 0.0227574373276295 0.000662476234228744 0.00239765031562794 0.00262173505616539 0.00195551289081558
"V14" 6.94307960184576e-06 8.36902714516688e-05 1.19491616688403e-05 0.00283424467900331 3.39078753943571e-06 5.8128977216706e-05 1.09898002107522e-06 4.52160670238588e-06 5.32700512694298e-05 0.0636411883254126
"V15" 0.00463088981947945 0.0146885656146924 0.00576156287099228 0.00138076030246608 0.000316893925288343 3.52020856617957e-05 0.000298742139495589 0.0039881408178911 0.00328060759165125 0.00438912018151511
"V16" 8.95604925050355e-05 3.3833767767271e-11 0.000296625489766868 0.0022655432353796 5.59064255562018e-05 0.0383773430269145 3.09141113190441e-05 2.65877272322992e-09 0.000144886156911621 6.15670984813926e-05
"V17" 0.000866821619002694 0.00291424186775201 0.00381235172814977 1.67306237390969e-12 0.0100267362246168 0.00241105486638927 0.00391966894700996 0.00489394485151461 0.00842729550737634 0.00549189130040072
"V18" 0.00726971034440175 0.00276754567599927 0.00439445258745267 0.00218164481914334 0.0022614757030813 0.000329224373208574 0.00176790248873987 0.00543593276073638 0.00468791255543713 0.000900638250243323
"V19" 3.52478865901778e-13 8.7472746683259e-13 4.18687275803159e-08 0.00416588299215488 5.05974533877284e-13 9.10089036353185e-07 9.12546082598531e-08 9.42932471880242e-13 0.00014392938859941 0.0358997041324744
"V20" 4.29003484578752e-12 0.000956340737687419 0.000929133645492852 4.94556144464348e-05 0.0180150056461117 0.0010647034437782 0.00139388012510554 0.000770320936470181 0.00309359134249063 0.0096909740827823
"V21" 0.000261665217679343 0.0055742664403383 0.00275149264913658 7.44418351653037e-13 0.0120186537444938 0.000811812597056728 0.00155964813270224 0.0014198577143218 0.00214685017108809 0.00463527258205219
"V22" 0.00255709229160767 0.00313232438682751 0.00189892652967763 0.00435896156159108 0.000606129041092516 0.00154608450615547 0.000867189984285692 0.00433513522823269 0.00370150747776917 0.00560821489787541
"V23" 0.00306975833840495 0.00196588836899809 0.00309903746433681 0.000959056617239412 0.00116025214944212 0.00204465825365198 0.00129073468646259 0.012489352803966 0.00325794729878152 0.00233104691020775
