"1" "2"
"V1" 0.0330437977665583 0.0412912380014507
"V2" 0.0286652372519292 0.0394959114504855
"V3" 0.0182452986868593 0.0312142233981642
"V4" 0.0157045097853888 0.0274127388898802
"V5" 0.0132143543841701 0.0186897270559988
"V6" 0.0101356921649537 0.0181978312271965
"V7" 0.0154580819992033 0.00719051312883334
"V8" 5.94703430517171e-09 0.017881057806322
"V9" 0.00457925277466279 0.00785043009778456
"V10" 0.0104426711710432 9.32079248097417e-10
"V11" 0.00978561474401591 3.54069169704172e-12
"V12" 6.74245689175829e-05 0.0116714920556868
"V13" 0.00292323087277548 0.00795510674270568
"V14" 0.00284646416328911 0.00686617989287241
"V15" 0.00517523740443075 0.00270990573707612
"V16" 0.00722782625654591 6.57244251760035e-05
"V17" 5.75695981892606e-12 0.00855858525909427
"V18" 0.00685853785757304 1.86522790888802e-09
"V19" 0.00598281440720172 0.000864027226864588
"V20" 0.00322945861730458 0.00371307743108425
"V21" 0.0016111756784064 0.00558706109192815
"V22" 0.00233038902005701 0.00412781809954444
"V23" 0.00388235604257784 0.002201407858591
"V24" 0.00436578384470817 0.00130472284490693
"V25" 0.00157439445233792 0.00412415223845863
"V26" 0.00397426657483422 0.00102561710908213
"V27" 0.00192599547476583 0.00306938925162952
"V28" 0.00193683104905814 0.00295631509895765
"V29" 2.06364706909561e-11 0.0053246860390504
"V30" 1.25953711350231e-07 0.00527004479200888
"V31" 0.000974227801837162 0.00404644269662865
"V32" 0.00386914027415875 0.00035853132533463
"V33" 9.93201643667709e-05 0.00488931573101326
"V34" 8.1796710939084e-05 0.00481565916619436
"V35" 0.000454268357742588 0.00430896330590414
"V36" 0.0020927585453442 0.00208856320230248
"V37" 0.00352506524040809 0.00029464005004971
"V38" 0.000784308143649824 0.00338279350703096
"V39" 0.00300644782143459 0.000612350998566893
"V40" 0.00117938458947765 0.00252785096540356
"V41" 0.0031533090921847 8.03417833325597e-12
"V42" 0.00191029545123275 0.00151313615913032
"V43" 0.0017078335734075 0.00170947138227673
"V44" 2.01838727451829e-05 0.00375178427179922
"V45" 0.00162536978047826 0.00169527720865415
"V46" 0.00142390042766558 0.00186009866992373
"V47" 0.00183677876521672 0.00131789732854665
"V48" 9.8707513599583e-09 0.00357175604801856
"V49" 0.000215945883826591 0.00330371631343934
"V50" 0.000366463213553361 0.00303437510419428
"V51" 0.00152904255786922 0.00154525621852367
"V52" 1.52182171008608e-05 0.00327313604604139
"V53" 0.00254904078460988 0.000141243020083458
"V54" 0.000797192136280889 0.0022872915565403
"V55" 0.00129522702393149 0.00166657367111681
"V56" 0.000997903746217523 0.00201073477800722
"V57" 0.00113192817708359 0.00177885405502193
"V58" 0.00228980518466925 0.000215127223419606
"V59" 0.000626693983282665 0.00225777927555743
"V60" 0.00157785898610269 0.00108201624373471
"V61" 0.00111497910526452 0.001584845412853
"V62" 0.00176189022894371 0.000712483611991172
"V63" 0.00228112572401539 4.14435824443734e-12
"V64" 0.000857492458175128 0.00170711357866712
"V65" 0.000374593651643888 0.00229905341651485
"V66" 0.00141992205153393 0.000991751984131178
"V67" 5.8183570603928e-06 0.00272743850594515
"V68" 3.44388611407368e-12 0.00273278377258642
"V69" 0.00199891383421663 0.000247825630574181
"V70" 0.00162130267826115 0.000698239068207623
"V71" 0.00144267386819995 0.000901911922353004
"V72" 0.00160307922720195 0.000695745784385933
"V73" 0.00134946312718225 0.000947711146951466
"V74" 0.00151455911576717 0.000726813315218628
"V75" 0.00118298503352547 0.0011349172822455
"V76" 0.00123107653708967 0.00105647351423988
"V77" 5.91937616318325e-06 0.00255431144254164
"V78" 0.00178279382827064 0.000357142781413342
"V79" 0.000341110305720329 0.00211645800088954
"V80" 0.000986866610382552 0.00131145316058627
"V81" 0.00189863277083765 0.000180166373267643
"V82" 0.00155983734347729 0.000595909671454213
"V83" 0.00180578759419952 0.000290566711972842
"V84" 0.000656970129831447 0.00169744747659029
"V85" 3.00376357054927e-12 0.00249811044428816
"V86" 6.66779989534984e-05 0.00238046910804523
"V87" 0.00193024016839976 7.78888011308571e-05
"V88" 0.00133783216629593 0.000796556989740817
"V89" 3.51427107160693e-12 0.00240829849880706
"V90" 0.00192859741389331 5.78653942162528e-11
"V91" 0.00145442787389109 0.000577650628375936
"V92" 0.000872319140635647 0.00129125786679564
"V93" 0.00191903185195837 3.75007934276651e-12
"V94" 0.00155802628698158 0.000419329722075099
"V95" 0.00161669759057782 0.000316706521454862
"V96" 0.00178739974922056 8.55829696252386e-05
"V97" 0.00140204758130302 0.000558787521079181
"V98" 0.00102516494449279 0.00101721311079558
"V99" 0.0012444222907811 0.000734369640803461
"V100" 0.00157371629581682 0.00032777491172221
"V101" 0.000133517320305958 0.00208504767461951
"V102" 0.00168444833557622 0.000167170706963009
"V103" 0.00139229550855002 0.000511082596929933
"V104" 3.63889853823916e-05 0.00217449195602185
"V105" 0.00120588470193258 0.000715866149273418
"V106" 1.03513444918356e-08 0.00219312449157026
"V107" 0.00111401818439703 0.000813366184833305
"V108" 0.00138328910343778 0.000476475626549877
"V109" 0.0011693782901958 0.00073021852724282
"V110" 0.0015531610147409 0.000252187515517622
"V111" 8.6438456863622e-05 0.0020362591227684
"V112" 0.000631332344068875 0.0013626027901874
"V113" 0.00115782627402587 0.000701886087767854
"V114" 0.00103232206100795 0.000854965135896347
"V115" 0.00172323673626002 2.11887753225525e-11
"V116" 0.00128402797237007 0.000541536609619916
"V117" 0.00171518450620628 7.30866879895868e-12
"V118" 0.00122907794353615 0.000590190794744592
"V119" 4.40080987438755e-11 0.00210001454561066
"V120" 5.5527496567205e-05 0.00203057251828488
"V121" 0.000908173796043401 0.000977737510563679
"V122" 0.00168854358184241 5.2592970559107e-12
"V123" 0.00103322814098457 0.000762556319044728
"V124" 0.00112289697856801 0.000646353055865567
"V125" 0.000923028441944318 0.000892496145348772
"V126" 0.00111019554046039 0.000652968178962135
