"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"V1" 0.0237501392822518 0.011527958734897 0.0165916226443716 0.0169096403159763 0.0207529903794441 0.00967499033167046 0.00894802023194311 0.0166907374139484 0.0207510848179131 0.00546033430181426
"V2" 1.85554949126865e-12 0.0171943051662592 0.00372141286171434 0.000972103551609043 0.0174725713853482 0.00594576937934669 0.000116128783895438 4.17149912330167e-12 0.002041737943585 0.0405728709635508
"V3" 0.0116825788346618 0.00754929551589456 0.00822537650383541 0.00467373141545638 0.0094194771580131 0.00470120506740294 0.00431661400858125 0.00740488389303581 0.00860669798409272 0.00371518998418678
"V4" 0.00875519071156303 0.00372069104889887 0.00476191327516659 0.00399532047065274 0.00770284544969671 0.00483776191762245 0.00386643066744048 0.00773317124730879 0.00862467321865065 0.00327215762439843
"V5" 1.62747997393068e-12 1.07793359023279e-10 3.96740120052098e-07 0.0506124210874694 9.90786569134826e-08 2.55002070652718e-13 0.00670791266315211 6.06533471736872e-13 2.28137010980191e-13 0.00153124582001619
"V6" 4.39092296165461e-07 2.38105941290137e-06 2.83403870816753e-07 0.0362932926172554 1.73036883788162e-13 3.59099371242872e-05 0.0191780884307915 2.33333397215186e-07 0.000136654293150647 0.00284247417850231
"V7" 3.92614457391415e-05 0.0153437795470047 0.00450995894476321 0.00142694513411585 0.0142362372441831 0.00113531257233821 0.000222665149514826 5.01479454188359e-07 0.000503475069816629 0.00733383021481583
"V8" 0.00605788748543684 0.00372291079493433 0.00523015332364636 0.0014231939917705 0.00600775234262443 0.00196650120066508 0.00190739138244843 0.00358304271091793 0.00507924166413575 0.00181193570528732
"V9" 0.00489726785896364 0.00448882911291187 0.0058834359442668 0.00211287602395612 0.005459408860253 0.00238946002923576 0.00226789225377387 0.00294525924336707 0.0045475105499329 0.00204978265433632
"V10" 4.61239101075388e-12 0.00722902203680428 0.00156270104578273 0.00152277370525859 0.00804542339473412 0.00175779928136407 9.03224136858708e-05 9.79717760380499e-11 0.000947621546810282 0.0220157947619064
"V11" 0.00533656611517408 0.00496566891916975 0.00504134739344883 0.00209598270620166 0.00535340997124119 0.00219109296547269 0.00194684306010848 0.00365558838726064 0.0044558407149896 0.00184340785509228
"V12" 0.000676957864818634 0.00438321661556631 0.00293591136242651 0.000667613358711575 0.00775991991538248 0.00522869280844336 0.000993264650428219 0.00181078431522528 0.00577891706634709 0.0106889789414536
"V13" 0.0049457425268052 0.00350977397341224 0.00455557047853361 0.00207998182213281 0.00508109112082324 0.00192534295384255 0.00245198314228106 0.00316856355374465 0.00482720473104732 0.00168398032245234
"V14" 0.00648571955071962 0.00129894737166423 0.00412027409579173 0.00233034712040376 0.00281267881790809 0.00228773354316734 0.00478522518624967 0.00262215364712714 0.00147942229619496 0.00335150188197597
"V15" 0.00206506084051176 0.00345216099683001 0.000891711637229632 0.000358211840578856 0.00687854195428212 0.00435236728407438 0.000287184183269665 0.00197418195997907 0.00524178931455877 0.00904767194900237
