"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"V1" 0.0136851781086861 0.00230995893621307 0.0108016523457737 0.00805942671687967 0.00899009946688304 0.00498636826787349 0.00393649749381337 0.00100042207192454 0.00212193802035217 0.00422039062548833
"V2" 0.0148913689718642 0.00397930058318691 0.00829632323770371 0.0081629699849127 0.00284612953969 0.00405182686688858 0.00170327096008325 0.00235050977285518 4.87831719001499e-08 0.0060342327306206
"V3" 5.59264954796585e-13 7.54743676840962e-09 0.0226750516533511 2.46337140703111e-11 3.53493009904912e-07 0.000678061606340518 3.66350405740833e-06 0.0337138909339375 1.37719664283163e-05 6.45509640363502e-06
"V4" 0.0161301576522222 7.6150212017985e-13 0.000965916656672044 8.10395673148934e-12 0.000252434860201805 0.00260318358062098 0.0164536859733096 0.0126610014992887 0.00116265563206187 2.05663409264926e-09
"V5" 0.0164124598428087 1.71992679125385e-12 0.0009981340503167 3.09202378928293e-11 0.000630204154684463 0.00542049083356082 0.00749212226662447 0.00401722621482703 0.00684201932901993 0.00122286674077695
"V6" 0.00506502739276897 0.000187836378400523 0.00480586993264128 0.0110316992139051 0.000124363478265904 0.0136560001929185 0.00540346201323424 0.00900451339733933 0.000320159466348763 1.95465340566603e-12
"V7" 0.0118511165985617 8.46816303650776e-13 0.00136792568784289 3.14932616894481e-11 0.000274141756752553 0.00175147474524847 0.0109277118454988 0.00872555576952833 0.00126696397857577 1.03938994268773e-10
"V8" 0.00412201146252874 1.24746480621104e-12 0.00194753094600853 1.40222462674976e-12 0.00477538388976352 0.00361459567809067 0.0197603407207756 0.0100506530508072 1.38120823546921e-11 0.00200624312090824
"V9" 0.0087204289726297 2.0430386257357e-12 0.00128632330944657 0.000323524247876064 0.000251738581709677 3.90044660346455e-05 0.0135553710734987 0.0115025393356579 0.000548466071786472 7.79450590531573e-10
"V10" 0.0111220919457586 0.000442384323258451 0.00317983341637103 0.00291213763980871 0.000808600140001413 0.00325614411614314 0.00650372850936451 0.000736915652057045 0.00265123998868023 0.000180190567902215
"V11" 0.0103000146150129 0.000881314167905782 0.00299964173396896 0.00315123439617483 0.000519815217805629 0.00260544731012909 0.00631565112139548 0.00214534421733124 0.00108687896880386 0.0007552970565954
"V12" 0.010494225640198 0.00103200103286422 0.00308704898680174 0.00349023343810595 0.00027838575002002 0.00280966137011092 0.00518449888706871 0.00157652823201294 0.00110787272376717 0.00120282483516608
"V13" 0.00916430109486592 0.000591976446299481 0.00322971548409911 0.00279872704277398 0.000974444420624193 0.00229088886013398 0.0081878183246124 0.00248209612129545 0.000585263250368398 0.000779064598281176
"V14" 0.0100997827086694 0.00027474975480615 0.00207471001369137 0.00159773344378572 0.0004019384792244 0.0020047839985369 0.00778708648962168 0.00462359108677441 0.000794068377496453 0.00129510828921778
"V15" 0.00881014635033615 0.000528292821939776 0.00316741488269607 0.00417385248446852 0.000286838510638582 0.0025587033734611 0.00575154012595843 0.00118106209448674 0.000679913835449654 0.00194859844222941
"V16" 0.00951980039851358 0.000290962816996119 0.00275101340019133 0.00115046241266342 0.000635363333006889 0.00226271542721895 0.00765746479345628 0.00281965326498672 0.000580627979880457 1.48225795837706e-07
"V17" 0.00906044286961344 0.00071593050444111 0.00333171509574696 0.00365375710256022 0.000463652602877827 0.00280812929652132 0.00549633968697722 0.000385503606004732 0.000941084303332685 0.000635299551891592
"V18" 0.00940539357624142 0.000484612737039805 0.00355402005308796 0.00296428356633946 0.000623007921828065 0.00214278019224766 0.00489249825732454 0.000380982103977554 0.00121587360707598 0.000656090895940294
"V19" 0.00604108133667693 0.0026140497066985 0.00496255155134811 0.00375098272623805 0.00185656953215269 0.00218495567603225 0.000514708407734549 0.00144537470590239 0.000580392904163402 0.00895155277337026
"V20" 0.0104672151821583 9.53311603699744e-05 0.00132914072905167 0.00058027421345632 0.000468828246421384 0.00189373358395768 0.00590566717802083 0.0042173231662232 0.00150790818018552 1.13127596692109e-11
