"1" "2" "3" "4" "5"
"V1" 0.0238753821256493 0.00677223199195127 0.0358828724587972 0.126019640238088 0.0354198425460375
"V2" 0.0254987550069536 0.0150428658783288 0.0256157354377451 0.101969936905539 0.0397875097598524
"V3" 0.00949310551083592 0.00237680882738654 0.0184516605047765 0.0972535153812688 0.0437096916445439
"V4" 0.0153837188477236 0.00692879015842944 0.0133464258416332 0.0759468621119186 0.0254994657605567
"V5" 0.012383738804589 0.00377874267805663 0.0120306759434493 0.0576604013341982 0.0120898858068161
"V6" 0.012059119824393 0.0113631698804268 0.00491147710773931 0.0439047086376825 0.014091161080497
"V7" 0.00746182355977743 0.0168125138572747 0.0147467356532713 2.33037173701665e-06 0.0167876322351608
"V8" 2.33479812238668e-06 1.78698871598367e-06 7.43959405158997e-06 5.40511209992302e-11 0.0904160970091152
"V9" 0.00332095841440909 0.00508829543058303 0.00232391252053174 0.0221566729805216 0.00734263358780594
"V10" 5.01350896481929e-05 3.76781440232063e-06 0.0186374221772139 0.000449282648146385 0.00127450017524324
"V11" 3.3316080048038e-12 0.0232000763936231 2.65974502976879e-12 3.60568422378246e-10 1.55935982835419e-11
"V12" 8.34226312461119e-12 0.00019405169313332 0.0173892918873371 3.18102728129287e-05 1.60372246575427e-05
"V13" 0.00321212203221872 0.00113010332320992 0.00238701612513202 0.0234954746304108 0.00625119422738014
"V14" 0.00426903954710818 0.000498571938224292 0.00207368941130032 0.0205181344006512 0.00391842962927696
"V15" 0.00218334990530649 0.00954512117699862 0.00158316738000013 3.9066876304744e-11 0.00912506143990352
"V16" 4.69474273409411e-12 0.000166186421084917 0.0118614942059865 0.00273006253543159 0.00113116173324773
"V17" 1.04150148004982e-07 2.71864726282208e-12 0.0127799945010034 3.21018622560874e-11 1.21168689266527e-05
"V18" 1.82312442924755e-05 2.69712805972703e-05 0.0118187236662199 1.04829291339567e-05 0.00262948672070028
"V19" 2.09666480264823e-10 0.00196206682765039 0.0101099668377811 0.00137487415553799 0.000438910970235865
"V20" 0.00231354629738787 0.00477911397448429 0.00104678192808637 0.00444342523549873 0.0100295420924033
"V21" 0.0060553150537946 0.00359780823842212 1.00362823471511e-06 1.44453574982046e-09 0.0111161789028362
"V22" 0.00224813993224613 0.0010830452492386 0.00122441448767237 0.014340571042849 0.00245308932303836
"V23" 0.00122854548477692 0.00482279424873565 0.00468138792148878 0.00152053265979748 0.0011606362941282
"V24" 0.00207653316804736 0.00589798355960086 0.00355509650697161 8.19162476257987e-07 0.000198030469265946
"V25" 4.0906153306182e-08 0.000927951912903739 0.000371539407295875 0.0177309679772766 0.00301138852558262
"V26" 0.00126655337926183 0.00576760342673443 0.00267888769468506 0.000382256260569329 0.00150936508234807
"V27" 0.00445163800361162 0.00140362613023665 0.00215794289578984 0.00162925055842058 0.00130642288673172
"V28" 0.00384524293667501 0.00296251243099553 0.000962231980906408 0.000940796734714374 0.00345497186344741
"V29" 1.45882788714842e-06 4.6696421562661e-12 5.73738994549313e-12 4.57183141504254e-05 0.0268692738093482
"V30" 2.59908075424085e-12 1.78547475702117e-11 1.4736528407903e-07 4.31186258010148e-05 0.0266009390962416
"V31" 0.00636529144557294 0.000422738896956327 0.000849388742993382 0.00284115502887078 8.25139712920329e-05
"V32" 0.000282959307269964 0.00128560393632397 0.00573460341004674 0.000453603396604252 0.00170897091919384
"V33" 0.00752657319436977 2.74341426695647e-05 4.24071290223229e-12 0.00239138518198828 1.25851489491809e-05
"V34" 0.0083404592760738 4.81232322705174e-05 1.41512451720232e-09 0.000228966078751702 1.72801052573287e-05
"V35" 2.94889393349674e-12 0.000247341048495482 0.00706097978624046 1.24244556514419e-11 6.73806137038337e-05
"V36" 0.000844596973644949 0.002316474045181 0.00164994245588404 0.00121604071524535 0.00782192404913199
"V37" 1.39341551615028e-09 0.000536106075182992 0.00557267195214255 0.00169368060660889 0.000911511690464246
"V38" 0.00152582745878687 0.00020744310071527 0.000449768822599373 0.00917943678932008 0.00305828821090689
"V39" 0.000657345644783356 0.000472900432702127 0.00496599491031679 7.5935802907346e-09 0.00186928256547266
"V40" 0.00366819478734585 0.000599167024079606 0.00162951409603844 7.24340213045645e-10 0.00231175827616091
"V41" 3.98997094212666e-12 3.04230843617824e-12 0.00561065728821522 0.000321838303805883 0.000238595869795009
"V42" 0.00227267709697829 0.00116485775914122 0.00255260049580035 0.000399328564798545 0.000669862887254694
"V43" 0.000533113088130149 0.00145713554521553 0.00167908773248558 0.00119547539066755 0.00660509070275471
"V44" 0.000720342159377939 1.30080872710933e-05 1.05239077170062e-05 1.48862497164541e-11 0.0169259197160151
"V45" 0.00233848191446019 0.00225773309276713 0.00104636291802043 0.00155243024716786 0.000286598789477096
"V46" 0.0029925509809351 0.000780777153343563 0.00195426112448418 4.83418456076963e-05 0.000794405179061953
"V47" 0.00172640089007117 0.0026732934531509 0.00122114742813304 0.000103588219239743 0.00176195817840895
"V48" 0.00610612452389709 4.06468795492709e-12 8.22370704597069e-12 0.000140915065773123 1.45552541461982e-06
"V49" 0.00522770902731151 1.94246801191563e-06 0.000135010184550736 0.00164842823607454 6.38761094169595e-05
"V50" 0.00517575596385114 0.000416305821162453 0.000164010457351372 0.00057424861219535 5.63047900419881e-05
"V51" 0.00231474916836082 0.00111155859200512 0.0020985388344124 0.000220763848981583 0.000249795266379651
"V52" 0.000937081390759222 9.68272953628823e-11 0.00389680509591028 0.000417532378589525 0.000147197336871664
"V53" 0.000110873715503008 0.00121180428850458 0.00350481357449951 0.000397953646809006 0.000697809774292418
"V54" 0.00055936724124384 8.58493486727961e-05 0.000718294575481769 0.00541464170480852 0.00492732367675966
"V55" 0.00249129688911222 0.00193984024853327 0.000757257012870639 0.000523314255817062 0.000841278057704136
"V56" 0.00101801704491954 0.000393226359094945 0.000902561333187456 0.00568693478281961 0.00163678867829025
"V57" 0.00144190388541412 0.00164258101013866 0.000309103559723557 0.00373352449747106 0.00142209222028564
"V58" 0.000381717682653494 0.00534375285676139 1.87219709947256e-05 3.09361311076961e-06 0.000126841557089298
"V59" 3.75249203242536e-06 5.32881494648981e-07 0.000323499556031029 3.2951133389338e-11 0.0142234845165923
"V60" 0.0015116907264062 0.00172121828230731 0.00166974320652385 0.000164585196087116 0.0004857113428304
"V61" 0.00237684808887876 0.00104093832114362 0.0012566311104684 1.493353530174e-05 0.0010001228198514
"V62" 0.000613488605509556 0.00108641459358788 0.0020965903860631 0.00151047675616773 0.000799534072426618
"V63" 2.73694990586591e-06 0.00540397365837713 2.13077855906467e-12 6.21923921471723e-08 2.95356487520805e-06
"V64" 0.00288729474420719 0.0013796211222915 0.000470996924255272 5.04810610408391e-10 0.000307194972358042
"V65" 0.00400504344710157 0.000532193103620278 0.000185205890315886 0.000100116461384119 7.89870107902071e-05
"V66" 0.00154895522099512 0.00209983566607002 0.00091128774562003 0.000198598624777942 0.000460765637310243
"V67" 0.00471263005371093 5.81123032482456e-06 4.44264438994372e-06 2.44351861009475e-06 3.0853645634362e-06
"V68" 4.11632191157854e-12 6.64121497087448e-08 0.00408055309442927 2.70942407539184e-10 4.26603408923391e-06
"V69" 0.000157202930655247 0.00117069055510817 0.00273360736675257 0.000147725840118416 0.000727147440028109
"V70" 0.000967461109338301 0.00236982345244328 0.00108603082783462 5.94174112457839e-11 0.000901067709505945
"V71" 0.000974996647507541 0.00130321885679515 0.00184601688755332 0.000463663784847606 0.00040107610985769
"V72" 0.000987335268159315 0.000707955075485431 0.00229148709099182 0.000478631279274549 0.000360618212298758
"V73" 0.00141476764117429 0.00185131389142742 0.00103705890744117 1.29132091379784e-07 0.00068765323065735
"V74" 0.000484767369816775 0.00125405545154994 0.0015747912002171 0.00158607112144096 0.00092938461400079
"V75" 0.00164153638159319 0.00174496749379619 0.000819280390275031 5.40809280688184e-06 0.000942310950025132
"V76" 0.00146630077991398 0.00241545716425835 0.000135463365413314 0.0012258935076308 0.000259649215578428
"V77" 0.00440731846330669 8.45906452378563e-06 5.35065033483234e-06 1.04475935635706e-05 8.92786314822773e-07
"V78" 0.000111374523409819 3.33403355432635e-12 0.00302261966882079 0.0013347876806406 0.000563021431101061
"V79" 0.0035878452856537 7.98788912316408e-06 0.000504370983052467 0.000417257003293595 3.7656328832141e-05
"V80" 0.00118220942547404 0.00112743303167262 0.00101375430604463 0.00106696281525318 0.00148763353741056
"V81" 1.88302255917911e-07 0.00030153449690949 0.00307476694896011 0.000951964394939464 0.000263489054842105
"V82" 0.000760037244906872 0.0022267402366821 0.00118069186238572 0.000189603101750785 0.00040677448424964
"V83" 0.000135381617386363 0.00174180898735172 0.00175005822181814 0.00120716923353774 0.000197651578462826
"V84" 0.000667378653066287 0.000963073655670463 6.90688244402777e-05 0.00230417287803585 0.00484810071473618
"V85" 3.95048787447566e-12 2.79735308224623e-12 0.00373044936320935 4.46972083469459e-11 3.01975408413139e-06
"V86" 0.00414848916284672 8.0327046521264e-05 1.20326856417601e-05 2.95542315626497e-05 2.07390700378082e-05
"V87" 0.000122739219582196 1.94524859659534e-05 0.0034783129050181 0.000157656877956113 3.42280145811762e-05
"V88" 0.000654356672507842 0.00113985627998542 0.0014973665298793 0.000251299674673534 0.0020505026250412
"V89" 0.00416036013335793 6.40565126577879e-12 2.32360497086812e-12 1.8218803764509e-06 3.73692767603036e-07
"V90" 4.2018942513207e-11 5.59886058992775e-06 0.00337306363721326 0.000137866682010627 0.000408963556193682
"V91" 0.000656819887558366 0.000851173965223233 0.00198096540228007 7.18459670796052e-06 0.00111546581080876
"V92" 0.000623602629022717 0.000812236349094335 0.000871391841694825 4.74239938157921e-09 0.00506040689991696
"V93" 2.71786189008763e-12 9.68952659384223e-08 0.00353551342360355 6.32581026878554e-12 7.79400473030449e-12
"V94" 0.000435981882784779 0.00214138184949681 0.0010902832214583 0.000788566072835997 0.000171902996795902
"V95" 5.11007266808083e-05 0.00185749389700974 0.00130070968691053 8.23857462760931e-05 0.0021349353954557
"V96" 7.75117275420546e-05 0.00102145601375458 0.00239067276525802 0.000139216369511351 0.000385648122993276
"V97" 0.000574560218833348 0.00213293073732741 0.000971993743228949 0.000469847594474021 0.000352211997826808
"V98" 0.00133755017817152 0.00176274469312997 0.000500369058770736 0.000687276319909555 0.00036342286709841
"V99" 0.0011362636461296 0.00156108710108401 0.00106551561976503 6.31263562215444e-11 0.000435997785882234
"V100" 0.000282385073516277 0.00214919201819199 0.0012089509197307 0.000298523818784751 0.000496467048257092
"V101" 0.00361101926373764 0.000306917277732585 2.26554530562665e-09 8.9962334717439e-07 2.4064123191508e-11
"V102" 0.000133284172390907 0.00132630560524425 0.0019208384428689 0.000227184621221685 0.000662652914739829
"V103" 0.000628882717134152 0.000696063446371299 0.00191212887883515 0.000277705927696091 0.000748412848198463
"V104" 0.00376775975478582 8.49837733295677e-08 4.59469870111938e-05 1.29700512653394e-05 2.31551166043883e-05
"V105" 0.000334610917091211 0.000517951292611706 0.00190418609450896 0.00114101547613183 0.000811084606044402
"V106" 0.00378589891135651 3.09723397813283e-06 3.80759718503431e-10 1.73587058255586e-06 1.87409229293993e-07
"V107" 0.0010713692184928 0.0011712944396014 0.00120378485375604 0.000217833935990378 0.000474976357677578
"V108" 0.00024747629938055 0.00108952961867259 0.00159443306064258 0.000593524500793686 0.00124714257085945
"V109" 0.000870532291214745 0.000670299216996875 0.00152151267012876 0.000816622712269802 0.000420612091224513
"V110" 0.000106266433656581 0.000754911442424363 0.00205512245744976 0.000254522080479358 0.00136469345588001
"V111" 0.00351687472338323 0.000118015038070398 3.56403438140947e-05 7.1524051967655e-05 1.60294989058302e-05
"V112" 2.15898688349953e-06 0.000470491981819188 0.00066593281016292 4.07953229513921e-05 0.00727705238055675
