"1" "2" "3" "4" "5"
"V1" 0.0425410066409984 0.0672646539663056 0.0551893426983841 0.102568951372435 0.0410433209640773
"V2" 0.0324206925197529 0.0313642245069805 0.0339379584176877 0.0437391984649569 0.0902288814334341
"V3" 0.0325238892044438 0.0352895002221453 0.0331185700843039 0.0197418953659966 0.037474680330587
"V4" 0.0230310859083424 0.0127947388385478 0.0167517745882821 0.0250049372914878 0.0469010451049607
"V5" 0.0158450634787629 0.0159885913169229 0.0141580501613939 0.0206307813047354 0.0540542571351167
"V6" 0.016317558124975 0.0299369968723937 0.0216439073614255 0.0176705371464902 0.024384050848829
"V7" 0.0148183996791902 0.0143316641023463 0.0111097915115399 0.0137759302722311 0.0423615596693797
"V8" 0.0159098184148792 0.0100901343730061 0.0208063770347485 0.0248127252788953 0.0231035557489481
"V9" 0.0221513739104529 0.0121672789418596 0.0175241196503844 0.0103295962775697 0.00754027366881824
"V10" 0.0158303002731211 0.0169179084862343 0.0192653238572773 0.0133865894058839 0.00805689311596
"V11" 0.0174207502446648 0.0160795764245048 0.0110880830634575 0.0132785845546928 0.0086140635412974
"V12" 0.012385839793064 0.0187216070291413 0.0132045638070292 0.0153000560421486 0.00805191038281535
"V13" 0.00928090387449497 0.00761980585178557 0.00865763739655619 0.00636440236747917 0.0149064466121273
"V14" 0.00750597397773105 0.00755043367325572 0.010204772980374 0.00742263350473342 0.00532167527397654
"V15" 0.00662756380705941 0.00537387752171883 0.00522830321345027 0.00779314961203172 0.00980190932934712
"V16" 0.00861118267389259 0.00565384080046352 0.00561454153559596 0.00558693466438574 0.00540280033947964
"V17" 0.00424685597966956 0.00341046820825998 0.00375351190246968 0.00431764514363025 0.0167043375569078
"V18" 0.00657456412776432 0.00571650087170656 0.00902308997475645 0.00268843614920851 0.00433190689980734
"V19" 0.00648393423680745 0.00595045128256752 0.00689342607107988 0.00331752562633698 0.00566642523485069
"V20" 0.00711256791755455 0.00580182128558275 0.00623298942055941 0.0047713301076638 0.00392720346572612
"V21" 0.00675499670149323 0.0035424116886725 0.0064221305795132 0.00565936820647252 0.00351515784836644
"V22" 0.0050651487102889 0.00488448111335258 0.00665602027280023 0.00504419756133047 0.00431852689708057
"V23" 0.00615991272627911 0.00614308717129806 0.00445235231333914 0.00537182573255387 0.00268253965137175
"V24" 0.00572767809547968 0.00580971536799058 0.00546337492223652 0.00361149518363376 0.00421917127708878
"V25" 0.00509328539126725 0.00583303608454805 0.00519711369347701 0.00407511778906665 0.00418019905138504
"V26" 0.00804572351001449 0.00185167178101782 0.00810248272339134 0.00069730334130729 0.00277374990779242
"V27" 0.0018315185825601 0.00399800041708867 0.00799543876612642 0.00484995216905407 0.00361957198803538
"V28" 0.00445866492367208 0.00324846728807873 0.00484888172154815 0.00448640307919332 0.00328209958655373
"V29" 0.00402864559995082 0.00269853182748689 0.00402532729029177 0.00234017140619773 0.00476559236954834
"V30" 0.00456421181541827 0.00607557303682754 0.00143375618071005 0.00182440053162072 0.0019654022505346
"V31" 0.00395565894400496 0.003251481250775 0.00493771274268698 0.00183557524476367 0.00245686552215887
"V32" 0.00389628702458347 0.00543875292312216 0.00265563269209397 0.00205043795151489 0.00151224374579637
"V33" 0.00332138736004209 0.00346463959953708 0.00400831123388242 0.00430980797755227 0.00158294891078566
"V34" 0.00364815733469197 0.00191419512720595 0.00738645600520066 9.7873100019383e-08 0.00248038949490143
"V35" 0.00289147671541495 0.00436252117149933 0.0033389715477082 0.00216171331790169 0.0031941305543487
