"1" "2" "3" "4" "5" "6" "7"
"V1" 0.0373122343537117 0.0168705721405144 0.0722879181072322 0.0112856342480975 0.0531202705208653 0.0292467056664824 0.00716289427031303
"V2" 0.035522377132531 0.0273063356380581 0.0345224193964167 0.012507628357887 0.0537150845173881 0.0398167449557705 0.0124226357228579
"V3" 0.0220469708706296 0.00910117752937826 0.0238117469591028 0.00613632367439941 0.0609980219914769 0.0333206066322036 0.0029549120122617
"V4" 0.0259116805636749 0.015535153297294 0.0171537041840239 0.0073026743739818 0.033013816575752 0.024030293816783 0.00513151338381627
"V5" 0.0180799293301868 0.0091723301151399 0.0126010509784416 0.00451865788103999 0.0213284583889755 0.0268697197976514 0.00344314979843752
"V6" 0.0170779549100254 0.0187733797541992 0.00819829960645676 0.00838112385089628 0.0228068912589706 0.00657615777457324 0.00770383000879437
"V7" 0.00555167794177887 0.0120367481218277 0.0158542919458157 0.015392759891056 0.0131104553254358 0.0132412987430116 0.0250969562677477
"V8" 2.44627792547467e-06 1.54120129402251e-06 5.41419635138061e-06 2.05018171020127e-06 0.0732447751697726 3.06817281801181e-06 1.87871099159584e-06
"V9" 0.00682029669310455 0.00928258997153131 0.0032784082786027 0.00361197503068931 0.0116769233970639 0.00293626680614405 0.00290176022750947
"V10" 6.06458025728992e-05 9.30791555135102e-06 0.00228097101108617 6.0836358999992e-06 0.00102215597837421 0.0380475378548899 1.27508322461874e-05
"V11" 1.65545576786051e-12 9.97449098972565e-12 4.46094251407616e-05 2.85045808467748e-11 5.7368276052698e-12 9.35171239787045e-12 0.108619612516818
"V12" 0.0157642634818262 0.000266464589738592 8.10928418370435e-05 5.52935560497128e-06 1.22864419468469e-05 6.55635618015196e-05 0.000281056054118521
"V13" 0.00731208134746328 0.00291521808968629 0.00377841768912074 0.00175170875437213 0.0101529913078828 0.00353919073810709 0.0012948677286354
"V14" 0.00699807881240967 0.00259649679714377 0.00409301964752922 0.000964507092106237 0.00662387712149482 0.00402500356069926 0.000499743130872277
"V15" 0.00144050568829278 0.00563742245898783 0.00169012632985467 0.0080381270590069 0.00722041235758927 0.00182556512387131 0.0164401568839375
"V16" 3.76008953719087e-05 0.000207124048991197 0.00402317656524039 0.000810081860480568 0.00174797030403903 0.0222771933454184 2.78630785353056e-05
"V17" 0.0115703476234547 3.90807659406285e-12 1.38360721363611e-05 0.000152206301695311 7.05726657298613e-06 1.19201386216226e-05 9.08136002462828e-12
"V18" 1.16463083307357e-05 3.00461411325768e-05 0.0233444321492111 4.42142511502528e-06 0.00167951643916142 0.000110275161131491 4.79178833276612e-05
"V19" 0.000363746560260363 0.00370733655307064 0.0122467732162899 2.32138917037879e-11 0.00044850198187058 0.00864156597550863 8.3371929892262e-05
"V20" 0.00228137493179133 0.00465512132816166 0.00194715437225608 0.00383600400739247 0.00868131308479344 0.00180976823622807 0.00517112403185053
"V21" 0.00463562732255341 0.00569456840086662 5.43684174617334e-12 0.00192152289377195 0.00898774213763289 7.84634499612457e-05 2.16356428122549e-05
