"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"V1" 0.0328143170493303 0.0167641029370406 0.0774437090350665 0.0144302481305656 0.0996760705420184 0.029248968031249 0.0354209568650696 0.0168643683631209 0.0260190124215094 0.00716114925876581
"V2" 0.0324303174201826 0.0272889087306738 0.0363514135710472 0.0148751111690628 0.0804664033037804 0.0394791620283894 0.0394333536821542 0.0158692118632887 0.0289427779656332 0.0124200328484436
"V3" 0.0161221903390954 0.00896401906116898 0.0231418393305504 0.00584602812123199 0.0973334068892384 0.0320188715381253 0.0408592197809615 0.0165912876978066 0.0209078019217629 0.0029561641795701
"V4" 0.0220272087274713 0.0152968424350256 0.018279184008746 0.00961913944718587 0.0513358847325724 0.0238303352288308 0.0271020237485843 0.00641928048680311 0.0273107787590151 0.00513066175444488
"V5" 0.016988415843061 0.00908910399653494 0.0136301005319323 0.00573525685463288 0.0378645679580432 0.0269459521732743 0.012361185652388 0.0051490890146283 0.0128228020971129 0.00344253471180938
"V6" 0.0149976772183216 0.0186525327952178 0.00883589082196045 0.0105886202981953 0.0395851522096271 0.00609240202103256 0.0131118918192047 0.00484566342525149 0.016483674444444 0.0077033054181324
"V7" 0.00660913241962368 0.0120918770492268 0.0163313035116525 0.0152602853766169 0.00253332312180772 0.0134883218997695 0.0185411828708607 0.0144920853579904 0.0039558957666768 0.0250899014998434
"V8" 3.46635054147763e-07 1.15529805218802e-06 3.86601517277961e-06 2.33632542151441e-06 2.25902966664873e-05 2.52220069034331e-05 0.112263086704725 8.06996055208328e-08 1.82193355140937e-05 1.86378543282057e-06
"V9" 0.00500641557090292 0.00925391615324776 0.00335814520287311 0.00426311218345832 0.0201934537900566 0.00261507838713438 0.00698012890063786 0.00270844530034761 0.0102448600489514 0.00290325591628325
"V10" 7.74994595232974e-05 8.84876941466277e-06 0.00237304614213655 6.25486409232648e-06 0.000419922382697718 0.0385401271910319 0.00141705645097486 0.00470806819305172 5.04981311665864e-05 1.27527340859922e-05
"V11" 1.30729552093372e-12 7.07066545219654e-12 5.76654476337222e-05 1.22540706235872e-05 8.33404144013829e-11 7.07480691805084e-12 4.98832014953535e-12 9.90957958535791e-06 6.53224426032661e-12 0.108632005488061
"V12" 1.70791766531512e-06 0.000250899683981018 5.70730910886039e-05 4.93574970104655e-06 2.71881165132648e-05 7.77461575159581e-05 3.54084735050633e-06 0.000114728352400135 0.107406137534803 0.000281718999394404
"V13" 0.0052622758463686 0.0028520953492288 0.00391060357588746 0.00213804670997968 0.0205341069859437 0.0033012863917152 0.00623868884091865 0.00169806174841291 0.0091844466629079 0.0012951044974549
"V14" 0.00640481614168959 0.00255881419999702 0.00422248760214786 0.00110041403932168 0.0139363558430675 0.00388481026664124 0.00409651958972411 0.00199194196168139 0.00374194181226499 0.000499796493655059
"V15" 0.0019592435745913 0.00560315223257295 0.00190634071146151 0.00994020942987001 5.88558681025951e-10 0.00185328732537937 0.0110509254928523 0.00195712967312165 0.000574751087507893 0.016418467097339
"V16" 5.74989901753569e-05 0.000195761680612983 0.00402223962126584 0.000771867524464898 0.00250293674712337 0.022215253594968 0.00094956893332888 0.00503147744011665 0.000182795133825103 2.78623055414028e-05
