"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"V1" 0.0459797804924649 0.01478744591981 0.0120346057942131 0.0189354147718731 0.020434289203337 0.0056936647189381 0.0368704155621816 0.0312435497116512 0.0344014023484844 0.00480677627764269
"V2" 0.00824548031795992 0.0138294794034933 0.00724623345748341 0.00492792021153414 0.0149910509478364 0.00351091110426355 0.00982788145600568 0.000883460964994176 0.00706850693637714 3.19481174988569e-11
"V3" 0.0039162027835287 0.0140640675961339 0.00995954201448986 0.00921141620789767 4.3509783842781e-10 0.00517015128462688 0.00492028487310787 0.00792042060275336 0.00315281060950451 0.00101617687034061
"V4" 1.75761672732439e-11 0.00192049391014808 1.22835021636559e-05 1.26639618630148e-07 0.0100014072146014 4.1504864951176e-11 0.000326309340984973 0.0568189760797757 2.6530812825408e-11 0.0101178466136263
"V5" 0.00126605252287832 4.34087164828935e-11 0.00370591200437999 0.0016501601942692 2.92889812684744e-07 0.00168967712912825 1.10637475892881e-05 0.00598938455250019 0.0148562501881251 0.0654339564316252
"V6" 0.0079788593931714 0.00549750406352807 0.00840913460697139 0.00858625995559302 0.00209691649204616 0.000401159425441946 0.00458093154120453 0.008977288269174 0.010909155272916 2.85711693485072e-10
"V7" 4.3077634872148e-11 0.000939099410836312 3.20632877611814e-11 0.00564200313470085 0.00178452239834514 0.00139961343343062 0.000631262679316536 0.00415533482723266 0.00767898646689904 0.0643940024868683
"V8" 1.75846550356563e-11 0.00179816851547444 0.00538317346069335 0.00232774628402416 0.000626838158128793 0.00189923136725436 0.00220954498807673 0.00267408607843336 0.00611708109147139 0.0588324107739085
"V9" 0.00585472435577474 0.00794114348101342 0.00526906355203366 0.00393957761725158 0.0104788212809437 0.00135942654288816 4.22046570547011e-07 0.0024784242904314 0.00388388626724224 0.000936295126097878
"V10" 4.16841811815761e-05 0.00408385509144458 0.00845402735744108 0.000328802881681588 0.00125680869192615 0.00035899772219547 5.01451617422492e-08 0.00112455795179755 0.00570068023647882 0.0378583579734791
"V11" 0.0045926149223031 0.00418465171950618 0.00754644604598194 0.00387941724230521 0.00741827188266216 0.000145835189774873 0.000673771852390458 0.00252885034235753 0.00970455513137957 0.0033126414804673
"V12" 0.00887851834735563 0.000984912083154377 6.28896571442791e-11 0.00585761330457545 0.000458701889342295 0.00777307182490201 2.60656615646593e-10 0.013206554267488 0.00533211682368987 0.00147714981365637
"V13" 0.00371891737975051 0.00666549452858254 0.00457420251158215 0.0046078684342249 0.00545285470416371 4.69134612898811e-09 1.57688480368982e-05 0.00379150117246576 0.0106806967971862 0.0016907957578385
